Player,Pos,Summary,Year
Steve Young,QB,"306 Cmp, 429 Att, 3902 Yds, 33 TD",1983
Robbie Bosco,QB,"17 Cmp, 28 Att, 252 Yds, 3 TD",1983
Casey Tiumalu,RB,"139 Att, 851 Yds, 6.1 Avg",1983
Eddie Stinnett,RB,"55 Att, 475 Yds, 8.6 Avg",1983
Waymon Hamilton,RB,"51 Att, 305 Yds, 6.0 Avg",1983
Lakei Heimuli,RB,"29 Att, 91 Yds, 3.1 Avg",1983
Bill McNabb,RB,"8 Att, 33 Yds, 4.1 Avg",1983
Mike Stanger,RB,"3 Att, 7 Yds, 2.3 Avg",1983
Tom Tuipulotu,RB,"1 Att, 2 Yds, 2.0 Avg",1983
Kirk Pendleton,WR,"50 Rec, 810 Yds, 16.2 Avg",1983
Mike Eddo,WR,"21 Rec, 303 Yds, 14.4 Avg",1983
Glen Kozlowski,WR,"29 Rec, 532 Yds, 18.3 Avg",1983
Adam Haysbert,WR,"11 Rec, 167 Yds, 15.2 Avg",1983
Scott Norberg,WR,"1 Rec, 13 Yds, 13.0 Avg",1983
Brian Hazelgren,WR,,1983
Gordon Hudson,TE,"44 Rec, 596 Yds, 13.5 Avg",1983
Steve Harper,TE,"26 Rec, 366 Yds, 14.1 Avg",1983
David Mills,TE,"3 Rec, 34 Yds, 11.3 Avg",1983
Brett Varoz,TE,"1 Rec, 10 Yds, 10.0 Avg",1983
Rex Burningham,OL,,1983
Craig Garrick,OL,,1983
Doug Kellermeyer,OL,,1983
Trevor Matich,OL,,1983
Louis Wong,OL,,1983
Randy Rawlinson,OL,,1983
Lee Johnson,K,,1983
Kevin Mitchell,K,,1983
Pete Rossi,K,,1983
Brandon Flint,DL,,1983
Jim Herrmann,DL,,1983
Brad Smith,DL,,1983
Shawn Knight,DL,,1983
Marv Allen,LB,,1983
Todd Shell,LB,,1983
Leon White,LB,,1983
Cary Whittingham,LB,,1983
Dave Neff,LB,,1983
Dan Akerfelds,LB,,1983
John Bechtold,LB,,1983
Blake Jensen,DB,,1983
Kyle Morrell,DB,,1983
Greg Peterson,DB,,1983
Jon Young,DB,,1983
Mark Allen,DB,,1983
Bobby Salazar,DB,,1983
Robbie Bosco,QB,"313 Cmp, 500 Att, 4218 Yds, 35 TD",1984
Blaine Fowler,QB,"27 Cmp, 42 Att, 307 Yds, 1 TD",1984
Lakei Heimuli,RB,"174 Att, 878 Yds, 5.0 Avg",1984
Kelly Smith,RB,"56 Rec, 686 Yds, 12.3 Avg",1984
Robert Parker,RB,"43 Att, 214 Yds, 5.0 Avg",1984
Fred Whittingham,RB,"25 Att, 67 Yds, 2.7 Avg",1984
Thor Salanoa,RB,"15 Att, 72 Yds, 4.8 Avg",1984
Vai Sikahema,RB,"12 Att, 76 Yds, 6.3 Avg",1984
Paul Crawford,RB,"2 Att, 12 Yds, 6.0 Avg",1984
Glen Kozlowski,WR,"58 Rec, 914 Yds, 15.8 Avg",1984
Mark Bellini,WR,"38 Rec, 620 Yds, 16.3 Avg",1984
Adam Haysbert,WR,"35 Rec, 443 Yds, 12.7 Avg",1984
Richard Orr,WR,"10 Rec, 153 Yds, 15.3 Avg",1984
Jim Edwards,WR,"3 Rec, 41 Yds, 13.7 Avg",1984
David Mills,TE,"71 Rec, 1126 Yds, 15.9 Avg",1984
Trevor Molini,TE,"8 Rec, 62 Yds, 7.8 Avg",1984
Lance Lindley,TE,"2 Rec, 18 Yds, 9.0 Avg",1984
Robert Anae,OL,,1984
Craig Garrick,OL,,1984
Trevor Matich,OL,,1984
Louis Wong,OL,,1984
Dave Wright,OL,,1984
David King,OL,,1984
Scott Robinson,OL,,1984
Lee Johnson,K,,1984
Pete Rossi,K,,1984
Larry Hamilton,DL,,1984
Jim Herrmann,DL,,1984
Brad Smith,DL,,1984
Shawn Knight,DL,,1984
Marv Allen,LB,,1984
Kurt Gouveia,LB,,1984
Leon White,LB,,1984
Cary Whittingham,LB,,1984
Dave Neff,LB,,1984
Mark Allen,DB,,1984
Steve Haymond,DB,,1984
Kyle Morrell,DB,,1984
Jeff Sprowls,DB,,1984
Korey Rasmussen,DB,,1984
Robbie Bosco,QB,"338 Cmp, 511 Att, 4273 Yds, 30 TD",1985
Blaine Fowler,QB,"26 Cmp, 44 Att, 309 Yds, 2 TD",1985
Steve Lindsley,QB,"2 Cmp, 3 Att, 26 Yds, 0 TD",1985
Vai Sikahema,RB,"58 Att, 383 Yds, 6.6 Avg",1985
Lakei Heimuli,RB,"188 Att, 857 Yds, 4.6 Avg",1985
Tom Tuipulotu,RB,"90 Att, 587 Yds, 6.5 Avg",1985
Kelly Smith,RB,"49 Rec, 530 Yds, 10.8 Avg",1985
Bruce Hansen,RB,"15 Att, 64 Yds, 4.3 Avg",1985
Alema Harrington,RB,"14 Att, 44 Yds, 3.1 Avg",1985
Ed Rowe,RB,"9 Att, 20 Yds, 2.2 Avg",1985
Glen Kozlowski,WR,"23 Rec, 436 Yds, 19.0 Avg",1985
Mark Bellini,WR,"63 Rec, 1008 Yds, 16.0 Avg",1985
